"Step","ExploreAlgorithm-v0.2-batch-size-3 - Test score","ExploreAlgorithm-v0.2-batch-size-3 - Test score__MIN","ExploreAlgorithm-v0.2-batch-size-3 - Test score__MAX","ExploreAlgorithm-v0.2-batch-size-2 - Test score","ExploreAlgorithm-v0.2-batch-size-2 - Test score__MIN","ExploreAlgorithm-v0.2-batch-size-2 - Test score__MAX"
"0","0.39733333333333337","0.392","0.4","0.424","0.416","0.44"
"1","0.39999999999999997","0.356","0.436","0.4133333333333334","0.384","0.46"
"2","0.412","0.348","0.476","0.43999999999999995","0.416","0.476"
"3","0.44133333333333336","0.364","0.504","0.4333333333333333","0.404","0.48"
"4","0.452","0.396","0.496","0.4626666666666666","0.42","0.508"
"5","0.42133333333333334","0.376","0.456","0.476","0.468","0.484"
"6","0.4493333333333333","0.416","0.484","0.4573333333333333","0.428","0.508"
"7","0.44","0.428","0.464","0.4306666666666667","0.396","0.464"
"8","0.44799999999999995","0.384","0.488","0.4573333333333333","0.404","0.492"
"9","0.45599999999999996","0.436","0.476","0.46399999999999997","0.432","0.504"
"10","0.4613333333333333","0.408","0.528","0.484","0.452","0.508"
