"Step","BasicSearchAlgorithm - Test score","BasicSearchAlgorithm - Test score__MIN","BasicSearchAlgorithm - Test score__MAX"
"0","0.388","0.388","0.388"
"2","0.412","0.412","0.412"
"4","0.46","0.46","0.46"
"6","0.4798387096774194","0.4798387096774194","0.4798387096774194"
"8","0.456","0.456","0.456"
"10","0.46","0.46","0.46"
"12","0.448","0.448","0.448"
"14","0.4859437751004016","0.4859437751004016","0.4859437751004016"
"16","0.42570281124497994","0.42570281124497994","0.42570281124497994"
"18","0.484","0.484","0.484"
"20","0.452","0.452","0.452"
