"Step","Name: ExploreOnlyLLM_v1.0 - Test score","Name: ExploreOnlyLLM_v1.0 - Test score__MIN","Name: ExploreOnlyLLM_v1.0 - Test score__MAX","Name: ExplorewithLLM_v1.0 - Test score","Name: ExplorewithLLM_v1.0 - Test score__MIN","Name: ExplorewithLLM_v1.0 - Test score__MAX","Name: ExploreAlgorithm_v1.0 - Test score","Name: ExploreAlgorithm_v1.0 - Test score__MIN","Name: ExploreAlgorithm_v1.0 - Test score__MAX"
"0","0.39333333333333337","0.36","0.432","0.3906666666666667","0.384","0.396","0.3826666666666667","0.352","0.408"
"1","0.39599999999999996","0.372","0.424","0.3591967871485944","0.336","0.39759036144578314","0.37733333333333335","0.356","0.408"
"2","0.36400000000000005","0.328","0.388","0.38000000000000006","0.348","0.436","0.39733333333333337","0.364","0.448"
"3","0.368524765729585","0.352","0.39357429718875503","0.41431258644536656","0.4","0.428","0.4355942409092151","0.3895582329317269","0.46122448979591835"
"4","0.3546666666666667","0.332","0.38","0.41862761506276147","0.368","0.45188284518828453","0.4178688085676037","0.396","0.456"
"5","0.37600000000000006","0.344","0.416","0.4070404463040447","0.3891213389121339","0.428","0.41766801619433197","0.364","0.472"
"6","0.37200000000000005","0.328","0.408","0.4184619640387275","0.392","0.436","0.4259223560910308","0.388","0.448"
"7","0.3818045515394913","0.3534136546184739","0.416","0.41096896086369766","0.38","0.444","0.42533333333333334","0.4","0.46"
"8","0.36533333333333334","0.34","0.416","0.40639231824417016","0.396","0.424","0.43768421052631573","0.416","0.476"
"9","0.37333333333333335","0.372","0.376","0.44786991869918696","0.392","0.476","0.4149203778677463","0.3967611336032389","0.44"
"10","0.3706666666666667","0.36","0.38","0.3990823211875844","0.336","0.43724696356275305","0.45395983935742973","0.42","0.472"
