"Step","MinibatchwithValidation - Test score","MinibatchwithValidation - Test score__MIN","MinibatchwithValidation - Test score__MAX"
"0","0.38799999999999996","0.36","0.412"
"2","0.3860162601626016","0.336","0.444"
"4","0.4334046639231825","0.396","0.468"
"6","0.45717204301075265","0.43951612903225806","0.476"
"8","0.4245665460194688","0.392","0.4578313253012048"
"10","0.4079024390243902","0.23170731707317074","0.52"
"12","0.36557377049180323","0.19672131147540983","0.492"
"14","0.38364625850340134","0.1469387755102041","0.54"
"16","0.38104683195592287","0.2231404958677686","0.464"
"18","0.4074557823129252","0.3183673469387755","0.472"
"20","0.44372789115646255","0.35918367346938773","0.488"
"21","0.4713770491803279","0.42213114754098363","0.516"
