"Total samples","ExploreAlgorithm-v0.2-batch-size-3 - _step","ExploreAlgorithm-v0.2-batch-size-3 - _step__MIN","ExploreAlgorithm-v0.2-batch-size-3 - _step__MAX","ExploreAlgorithm-v0.2-batch-size-3 - Test score","ExploreAlgorithm-v0.2-batch-size-3 - Test score__MIN","ExploreAlgorithm-v0.2-batch-size-3 - Test score__MAX","ExploreAlgorithm-v0.2-batch-size-2 - _step","ExploreAlgorithm-v0.2-batch-size-2 - _step__MIN","ExploreAlgorithm-v0.2-batch-size-2 - _step__MAX","ExploreAlgorithm-v0.2-batch-size-2 - Test score","ExploreAlgorithm-v0.2-batch-size-2 - Test score__MIN","ExploreAlgorithm-v0.2-batch-size-2 - Test score__MAX","ExploreAlgorithm-v0.2 - _step","ExploreAlgorithm-v0.2 - _step__MIN","ExploreAlgorithm-v0.2 - _step__MAX","ExploreAlgorithm-v0.2 - Test score","ExploreAlgorithm-v0.2 - Test score__MIN","ExploreAlgorithm-v0.2 - Test score__MAX"
"0","0","0","0","0.39733333333333337","0.392","0.4","0","0","0","0.424","0.416","0.44","0","0","0","0.3906666666666667","0.376","0.416"
"202","","","","","","","","","","","","","1","1","1","0.36400000000000005","0.34","0.392"
"204","","","","","","","1","1","1","0.4133333333333334","0.384","0.46","","","","","",""
"206","1","1","1","0.39999999999999997","0.356","0.436","","","","","","","","","","","",""
"404","","","","","","","","","","","","","2","2","2","0.3933333333333333","0.34","0.476"
"408","","","","","","","2","2","2","0.43999999999999995","0.416","0.476","","","","","",""
"412","2","2","2","0.412","0.348","0.476","","","","","","","","","","","",""
"606","","","","","","","","","","","","","3","3","3","0.4053333333333334","0.368","0.468"
"612","","","","","","","3","3","3","0.4333333333333333","0.404","0.48","","","","","",""
"618","3","3","3","0.44133333333333336","0.364","0.504","","","","","","","","","","","",""
"808","","","","","","","","","","","","","4","4","4","0.4186666666666667","0.392","0.456"
"816","","","","","","","4","4","4","0.4626666666666666","0.42","0.508","","","","","",""
"824","4","4","4","0.452","0.396","0.496","","","","","","","","","","","",""
"1010","","","","","","","","","","","","","5","5","5","0.38133333333333336","0.344","0.444"
"1020","","","","","","","5","5","5","0.476","0.468","0.484","","","","","",""
"1030","5","5","5","0.42133333333333334","0.376","0.456","","","","","","","","","","","",""
"1212","","","","","","","","","","","","","6","6","6","0.38533333333333336","0.344","0.416"
"1224","","","","","","","6","6","6","0.4573333333333333","0.428","0.508","","","","","",""
"1236","6","6","6","0.4493333333333333","0.416","0.484","","","","","","","","","","","",""
"1414","","","","","","","","","","","","","7","7","7","0.39333333333333337","0.364","0.424"
"1428","","","","","","","7","7","7","0.4306666666666667","0.396","0.464","","","","","",""
"1442","7","7","7","0.44","0.428","0.464","","","","","","","","","","","",""
"1616","","","","","","","","","","","","","8","8","8","0.39333333333333337","0.352","0.44"
"1632","","","","","","","8","8","8","0.4573333333333333","0.404","0.492","","","","","",""
"1648","8","8","8","0.44799999999999995","0.384","0.488","","","","","","","","","","","",""
"1818","","","","","","","","","","","","","9","9","9","0.412","0.38","0.448"
"1836","","","","","","","9","9","9","0.46399999999999997","0.432","0.504","","","","","",""
"1854","9","9","9","0.45599999999999996","0.436","0.476","","","","","","","","","","","",""
"2020","","","","","","","","","","","","","10","10","10","0.45333333333333337","0.44","0.468"
"2040","","","","","","","10","10","10","0.484","0.452","0.508","","","","","",""
"2060","10","10","10","0.4613333333333333","0.408","0.528","","","","","","","","","","","",""
