"Step","ExploreAlgorithm_v1.0 - Test score","ExploreAlgorithm_v1.0 - Test score__MIN","ExploreAlgorithm_v1.0 - Test score__MAX","ExploreAlgorithm_v1.0 - LCB","ExploreAlgorithm_v1.0 - LCB__MIN","ExploreAlgorithm_v1.0 - LCB__MAX","ExploreAlgorithm_v1.0 - UCB","ExploreAlgorithm_v1.0 - UCB__MIN","ExploreAlgorithm_v1.0 - UCB__MAX"
"0","0.388","0.388","0.388","","","","","",""
"1","0.368","0.368","0.368","0.3119624078433271","0.3119624078433271","0.3119624078433271","0.4380375921566729","0.4380375921566729","0.4380375921566729"
"2","0.364","0.364","0.364","0.3093668619751274","0.3093668619751274","0.3093668619751274","0.43349028088201547","0.43349028088201547","0.43349028088201547"
"3","0.46122448979591835","0.46122448979591835","0.46122448979591835","0.43775022403155134","0.43775022403155134","0.43775022403155134","0.555960467792348","0.555960467792348","0.555960467792348"
"4","0.40160642570281124","0.40160642570281124","0.40160642570281124","0.40868144323716743","0.40868144323716743","0.40868144323716743","0.515941672340722","0.515941672340722","0.515941672340722"
"5","0.41700404858299595","0.41700404858299595","0.41700404858299595","0.4082666088107522","0.4082666088107522","0.4082666088107522","0.5163565067671373","0.5163565067671373","0.5163565067671373"
"6","0.44176706827309237","0.44176706827309237","0.44176706827309237","0.4084000370703924","0.4084000370703924","0.4084000370703924","0.516223078507497","0.516223078507497","0.516223078507497"
"7","0.4","0.4","0.4","0.4068428509028854","0.4068428509028854","0.4068428509028854","0.5105883417576651","0.5105883417576651","0.5105883417576651"
"8","0.42105263157894735","0.42105263157894735","0.42105263157894735","0.40630763101361644","0.40630763101361644","0.40630763101361644","0.5111235616469341","0.5111235616469341","0.5111235616469341"
"9","0.3967611336032389","0.3967611336032389","0.3967611336032389","0.406532949285948","0.406532949285948","0.406532949285948","0.5108982433746025","0.5108982433746025","0.5108982433746025"
"10","0.46987951807228917","0.46987951807228917","0.46987951807228917","0.4322113885755665","0.4322113885755665","0.4322113885755665","0.5287261114244335","0.5287261114244335","0.5287261114244335"
