score_before_opto,score_after_opto
0.44,0.36
0.36,0.4
0.4,0.3
0.3,0.38
0.38,0.4
0.4,0.42
0.42,0.42
0.42,0.48
0.48,0.42
0.42,0.38
0.38,0.4
0.4,0.38
0.38,0.54
0.54,0.38
0.38,0.54
0.54,0.48
0.48,0.46
0.46,0.52
0.52,0.4
0.4,0.54
0.36,0.36
0.36,0.5
0.5,0.38
0.38,0.4
0.4,0.42
0.42,0.2857142857142857
0.2857142857142857,0.32
0.32,0.3061224489795918
0.3061224489795918,0.34
0.34,0.3333333333333333
0.3333333333333333,0.4375
0.4375,0.46
0.46,0.4347826086956521
0.4347826086956521,0.3877551020408163
0.3877551020408163,0.4791666666666667
0.4791666666666667,0.4285714285714285
0.4285714285714285,0.4791666666666667
0.4791666666666667,0.4583333333333333
0.4583333333333333,0.42
0.42,0.42
0.36,0.42
0.42,0.3
0.3,0.3673469387755102
0.3673469387755102,0.52
0.52,0.46
0.46,0.4
0.4,0.5
0.5,0.5
0.5,0.48
0.48,0.38
0.38,0.46
0.46,0.54
0.54,0.38
0.38,0.5
0.5,0.5
0.5,0.52
0.52,0.42
0.42,0.44
0.44,0.6
0.6,0.42
0.4,0.32
0.32,0.44
0.44,0.4
0.4,0.38
0.38,0.4
0.4,0.4
0.4,0.3265306122448979
0.3265306122448979,0.32
0.32,0.48
0.48,0.46
0.46,0.46
0.46,0.48
0.48,0.5102040816326531
0.5102040816326531,0.42
0.42,0.48
0.48,0.4
0.4,0.44
0.44,0.4375
0.4375,0.3469387755102041
0.3469387755102041,0.4693877551020408
0.36,0.4
0.4,0.44
0.44,0.42
0.42,0.36
0.36,0.48
0.48,0.52
0.52,0.48
0.48,0.46
0.46,0.52
0.52,0.5
0.5,0.38
0.38,0.52
0.52,0.54
0.54,0.44
0.44,0.52
0.52,0.52
0.52,0.42
0.42,0.54
0.54,0.4693877551020408
0.4693877551020408,0.5
