"Total samples","IslandSearchAlgorithm - _step","IslandSearchAlgorithm - _step__MIN","IslandSearchAlgorithm - _step__MAX","IslandSearchAlgorithm - Test score","IslandSearchAlgorithm - Test score__MIN","IslandSearchAlgorithm - Test score__MAX","ExploreOnlyLLM_v1.0 - _step","ExploreOnlyLLM_v1.0 - _step__MIN","ExploreOnlyLLM_v1.0 - _step__MAX","ExploreOnlyLLM_v1.0 - Test score","ExploreOnlyLLM_v1.0 - Test score__MIN","ExploreOnlyLLM_v1.0 - Test score__MAX","ExplorewithLLM_v1.0 - _step","ExplorewithLLM_v1.0 - _step__MIN","ExplorewithLLM_v1.0 - _step__MAX","ExplorewithLLM_v1.0 - Test score","ExplorewithLLM_v1.0 - Test score__MIN","ExplorewithLLM_v1.0 - Test score__MAX","ExploreAlgorithm_v1.0 - _step","ExploreAlgorithm_v1.0 - _step__MIN","ExploreAlgorithm_v1.0 - _step__MAX","ExploreAlgorithm_v1.0 - Test score","ExploreAlgorithm_v1.0 - Test score__MIN","ExploreAlgorithm_v1.0 - Test score__MAX"
"0","0","0","0","0.396","0.396","0.396","0","0","0","0.36","0.36","0.36","0","0","0","0.384","0.384","0.384","0","0","0","0.388","0.388","0.388"
"200","","","","","","","1","1","1","0.424","0.424","0.424","","","","","","","","","","","",""
"202","","","","","","","","","","","","","1","1","1","0.344","0.344","0.344","","","","","",""
"204","","","","","","","","","","","","","","","","","","","1","1","1","0.368","0.368","0.368"
"400","","","","","","","2","2","2","0.328","0.328","0.328","","","","","","","","","","","",""
"404","","","","","","","","","","","","","2","2","2","0.356","0.356","0.356","","","","","",""
"408","","","","","","","","","","","","","","","","","","","2","2","2","0.364","0.364","0.364"
"450","1","1","1","0.388","0.388","0.388","","","","","","","","","","","","","","","","","",""
"600","","","","","","","3","3","3","0.39357429718875503","0.39357429718875503","0.39357429718875503","","","","","","","","","","","",""
"606","","","","","","","","","","","","","3","3","3","0.4","0.4","0.4","","","","","",""
"611","","","","","","","","","","","","","","","","","","","3","3","3","0.46122448979591835","0.46122448979591835","0.46122448979591835"
"799","","","","","","","4","4","4","0.38","0.38","0.38","","","","","","","","","","","",""
"808","","","","","","","","","","","","","4","4","4","0.368","0.368","0.368","","","","","",""
"810","","","","","","","","","","","","","5","5","5","0.404","0.404","0.404","","","","","",""
"814","","","","","","","","","","","","","","","","","","","4","4","4","0.40160642570281124","0.40160642570281124","0.40160642570281124"
"850","2","2","2","0.376","0.376","0.376","","","","","","","","","","","","","","","","","",""
"999","","","","","","","5","5","5","0.344","0.344","0.344","","","","","","","","","","","",""
"1012","","","","","","","","","","","","","6","6","6","0.436","0.436","0.436","","","","","",""
"1017","","","","","","","","","","","","","","","","","","","5","5","5","0.41700404858299595","0.41700404858299595","0.41700404858299595"
"1199","","","","","","","6","6","6","0.38","0.38","0.38","","","","","","","","","","","",""
"1214","","","","","","","","","","","","","7","7","7","0.38","0.38","0.38","","","","","",""
"1221","","","","","","","","","","","","","","","","","","","6","6","6","0.44176706827309237","0.44176706827309237","0.44176706827309237"
"1250","3","3","3","0.372","0.372","0.372","","","","","","","","","","","","","","","","","",""
"1399","","","","","","","7","7","7","0.416","0.416","0.416","","","","","","","","","","","",""
"1415","","","","","","","","","","","","","8","8","8","0.396","0.396","0.396","","","","","",""
"1424","","","","","","","","","","","","","","","","","","","7","7","7","0.4","0.4","0.4"
"1599","","","","","","","8","8","8","0.34","0.34","0.34","","","","","","","","","","","",""
"1617","","","","","","","","","","","","","9","9","9","0.392","0.392","0.392","","","","","",""
"1626","","","","","","","","","","","","","","","","","","","8","8","8","0.42105263157894735","0.42105263157894735","0.42105263157894735"
"1650","4","4","4","0.376","0.376","0.376","","","","","","","","","","","","","","","","","",""
"1799","","","","","","","9","9","9","0.372","0.372","0.372","","","","","","","","","","","",""
"1819","","","","","","","","","","","","","10","10","10","0.336","0.336","0.336","","","","","",""
"1826","","","","","","","","","","","","","","","","","","","9","9","9","0.3967611336032389","0.3967611336032389","0.3967611336032389"
"1999","","","","","","","10","10","10","0.36","0.36","0.36","","","","","","","","","","","",""
"2028","","","","","","","","","","","","","","","","","","","10","10","10","0.46987951807228917","0.46987951807228917","0.46987951807228917"
"2050","5","5","5","0.424","0.424","0.424","","","","","","","","","","","","","","","","","",""
