"Total samples","Name: BasicSearchAlgorithm - _step","Name: BasicSearchAlgorithm - _step__MIN","Name: BasicSearchAlgorithm - _step__MAX","Name: BasicSearchAlgorithm - Test score","Name: BasicSearchAlgorithm - Test score__MIN","Name: BasicSearchAlgorithm - Test score__MAX","Name: IslandSearchAlgorithm - _step","Name: IslandSearchAlgorithm - _step__MIN","Name: IslandSearchAlgorithm - _step__MAX","Name: IslandSearchAlgorithm - Test score","Name: IslandSearchAlgorithm - Test score__MIN","Name: IslandSearchAlgorithm - Test score__MAX","Name: MinibatchwithValidation - _step","Name: MinibatchwithValidation - _step__MIN","Name: MinibatchwithValidation - _step__MAX","Name: MinibatchwithValidation - Test score","Name: MinibatchwithValidation - Test score__MIN","Name: MinibatchwithValidation - Test score__MAX","Name: ExploreOnlyLLM_v1.0 - _step","Name: ExploreOnlyLLM_v1.0 - _step__MIN","Name: ExploreOnlyLLM_v1.0 - _step__MAX","Name: ExploreOnlyLLM_v1.0 - Test score","Name: ExploreOnlyLLM_v1.0 - Test score__MIN","Name: ExploreOnlyLLM_v1.0 - Test score__MAX","Name: ExplorewithLLM_v1.0 - _step","Name: ExplorewithLLM_v1.0 - _step__MIN","Name: ExplorewithLLM_v1.0 - _step__MAX","Name: ExplorewithLLM_v1.0 - Test score","Name: ExplorewithLLM_v1.0 - Test score__MIN","Name: ExplorewithLLM_v1.0 - Test score__MAX","Name: ExploreAlgorithm_v1.0 - _step","Name: ExploreAlgorithm_v1.0 - _step__MIN","Name: ExploreAlgorithm_v1.0 - _step__MAX","Name: ExploreAlgorithm_v1.0 - Test score","Name: ExploreAlgorithm_v1.0 - Test score__MIN","Name: ExploreAlgorithm_v1.0 - Test score__MAX"
"0","0","0","0","0.36401673640167365","0.36401673640167365","0.36401673640167365","0","0","0","0.3831753681392236","0.372","0.396","0","0","0","0.38799999999999996","0.36","0.412","0","0","0","0.39333333333333337","0.36","0.432","0","0","0","0.3906666666666667","0.384","0.396","0","0","0","0.3826666666666667","0.352","0.408"
"4","","","","","","","","","","","","","2","2","2","0.3860162601626016","0.336","0.444","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","4","4","4","0.4334046639231825","0.396","0.468","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","6","6","6","0.45717204301075265","0.43951612903225806","0.476","","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","8","8","8","0.4245665460194688","0.392","0.4578313253012048","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","10","10","10","0.4079024390243902","0.23170731707317074","0.52","","","","","","","","","","","","","","","","","",""
"24","","","","","","","","","","","","","12","12","12","0.36557377049180323","0.19672131147540983","0.492","","","","","","","","","","","","","","","","","",""
"28","","","","","","","","","","","","","14","14","14","0.38364625850340134","0.1469387755102041","0.54","","","","","","","","","","","","","","","","","",""
"32","","","","","","","","","","","","","16","16","16","0.38104683195592287","0.2231404958677686","0.464","","","","","","","","","","","","","","","","","",""
"36","","","","","","","","","","","","","18","18","18","0.4074557823129252","0.3183673469387755","0.472","","","","","","","","","","","","","","","","","",""
"40","","","","","","","","","","","","","20","20","20","0.44372789115646255","0.35918367346938773","0.488","","","","","","","","","","","","","","","","","",""
"198","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.39759036144578314","0.39759036144578314","0.39759036144578314","","","","","",""
"200","","","","","","","","","","","","","","","","","","","1","1","1","0.39599999999999996","0.372","0.424","","","","","","","","","","","",""
"202","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.33999999999999997","0.336","0.344","","","","","",""
"204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.37733333333333335","0.356","0.408"
"254","2","2","2","0.376","0.376","0.376","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"400","","","","","","","","","","","","","","","","","","","2","2","2","0.36400000000000005","0.328","0.388","2","2","2","0.436","0.436","0.436","","","","","",""
"402","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","0.348","0.348","0.348","","","","","",""
"404","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","0.356","0.356","0.356","","","","","",""
"408","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","0.39733333333333337","0.364","0.448"
"450","","","","","","","1","1","1","0.37733333333333335","0.324","0.42","","","","","","","","","","","","","","","","","","","","","","","",""
"458","4","4","4","0.332","0.332","0.332","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"562","6","6","6","0.42168674698795183","0.42168674698795183","0.42168674698795183","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"596","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","0.4149377593360996","0.4149377593360996","0.4149377593360996","","","","","",""
"600","","","","","","","","","","","","","","","","","","","3","3","3","0.368524765729585","0.352","0.39357429718875503","","","","","","","","","","","",""
"602","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","0.428","0.428","0.428","","","","","",""
"606","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","0.4","0.4","0.4","","","","","",""
