"Step","MinibatchAlgorithm-Collect-Correlation-5 - score_before_opto","MinibatchAlgorithm-Collect-Correlation-5 - score_before_opto__MIN","MinibatchAlgorithm-Collect-Correlation-5 - score_before_opto__MAX","MinibatchAlgorithm-Collect-Correlation-5 - score_after_opto","MinibatchAlgorithm-Collect-Correlation-5 - score_after_opto__MIN","MinibatchAlgorithm-Collect-Correlation-5 - score_after_opto__MAX","MinibatchAlgorithm-Collect-Correlation-4 - score_before_opto","MinibatchAlgorithm-Collect-Correlation-4 - score_before_opto__MIN","MinibatchAlgorithm-Collect-Correlation-4 - score_before_opto__MAX","MinibatchAlgorithm-Collect-Correlation-4 - score_after_opto","MinibatchAlgorithm-Collect-Correlation-4 - score_after_opto__MIN","MinibatchAlgorithm-Collect-Correlation-4 - score_after_opto__MAX","MinibatchAlgorithm-Collect-Correlation-3 - score_before_opto","MinibatchAlgorithm-Collect-Correlation-3 - score_before_opto__MIN","MinibatchAlgorithm-Collect-Correlation-3 - score_before_opto__MAX","MinibatchAlgorithm-Collect-Correlation-3 - score_after_opto","MinibatchAlgorithm-Collect-Correlation-3 - score_after_opto__MIN","MinibatchAlgorithm-Collect-Correlation-3 - score_after_opto__MAX","MinibatchAlgorithm-Collect-Correlation-2 - score_before_opto","MinibatchAlgorithm-Collect-Correlation-2 - score_before_opto__MIN","MinibatchAlgorithm-Collect-Correlation-2 - score_before_opto__MAX","MinibatchAlgorithm-Collect-Correlation-2 - score_after_opto","MinibatchAlgorithm-Collect-Correlation-2 - score_after_opto__MIN","MinibatchAlgorithm-Collect-Correlation-2 - score_after_opto__MAX","MinibatchAlgorithm-Collect-Correlation - score_before_opto","MinibatchAlgorithm-Collect-Correlation - score_before_opto__MIN","MinibatchAlgorithm-Collect-Correlation - score_before_opto__MAX","MinibatchAlgorithm-Collect-Correlation - score_after_opto","MinibatchAlgorithm-Collect-Correlation - score_after_opto__MIN","MinibatchAlgorithm-Collect-Correlation - score_after_opto__MAX"
"1","0.26","0.26","0.26","0.34","0.34","0.34","0.28","0.28","0.28","0.02","0.02","0.02","0.4","0.4","0.4","0.23404255319148937","0.23404255319148937","0.23404255319148937","0.36","0.36","0.36","0.36","0.36","0.36","0.28","0.28","0.28","0.02","0.02","0.02"
"2","0.34","0.34","0.34","0.3","0.3","0.3","0.02","0.02","0.02","0.02","0.02","0.02","0.23404255319148937","0.23404255319148937","0.23404255319148937","0.3877551020408163","0.3877551020408163","0.3877551020408163","0.36","0.36","0.36","0.52","0.52","0.52","0.02","0.02","0.02","0","0","0"
"3","0.3","0.3","0.3","0.42","0.42","0.42","0.02","0.02","0.02","0.02040816326530612","0.02040816326530612","0.02040816326530612","0.3877551020408163","0.3877551020408163","0.3877551020408163","0.3673469387755102","0.3673469387755102","0.3673469387755102","0.52","0.52","0.52","0.52","0.52","0.52","0","0","0","0.08","0.08","0.08"
"4","0.42","0.42","0.42","0.44","0.44","0.44","0.02040816326530612","0.02040816326530612","0.02040816326530612","0.02","0.02","0.02","0.3673469387755102","0.3673469387755102","0.3673469387755102","0.46","0.46","0.46","0.52","0.52","0.52","0.48","0.48","0.48","0.08","0.08","0.08","0.04","0.04","0.04"
"5","0.44","0.44","0.44","0.44","0.44","0.44","0.02","0.02","0.02","0.02","0.02","0.02","0.46","0.46","0.46","0.38","0.38","0.38","0.48","0.48","0.48","0.48","0.48","0.48","0.04","0.04","0.04","0.04","0.04","0.04"
"6","0.44","0.44","0.44","0.38","0.38","0.38","0.02","0.02","0.02","0","0","0","0.38","0.38","0.38","0.3404255319148936","0.3404255319148936","0.3404255319148936","0.48","0.48","0.48","0.5","0.5","0.5","0.04","0.04","0.04","0.06","0.06","0.06"
"7","0.38","0.38","0.38","0.4","0.4","0.4","0","0","0","0","0","0","0.3404255319148936","0.3404255319148936","0.3404255319148936","0.46","0.46","0.46","0.5","0.5","0.5","0.4","0.4","0.4","0.06","0.06","0.06","0.04","0.04","0.04"
"8","0.4","0.4","0.4","0.44","0.44","0.44","0","0","0","0","0","0","0.46","0.46","0.46","0.3958333333333333","0.3958333333333333","0.3958333333333333","0.4","0.4","0.4","0.5","0.5","0.5","0.04","0.04","0.04","0.08","0.08","0.08"
"9","0.44","0.44","0.44","0.38461538461538464","0.38461538461538464","0.38461538461538464","0","0","0","0.04","0.04","0.04","0.3958333333333333","0.3958333333333333","0.3958333333333333","0.4791666666666667","0.4791666666666667","0.4791666666666667","0.5","0.5","0.5","0.38","0.38","0.38","0.08","0.08","0.08","0.02","0.02","0.02"
"10","0.38461538461538464","0.38461538461538464","0.38461538461538464","0.32","0.32","0.32","0.04","0.04","0.04","0","0","0","0.4791666666666667","0.4791666666666667","0.4791666666666667","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.38","0.38","0.38","0.54","0.54","0.54","0.02","0.02","0.02","0.04","0.04","0.04"
"11","0.32","0.32","0.32","0.56","0.56","0.56","0","0","0","0","0","0","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.4791666666666667","0.4791666666666667","0.4791666666666667","0.54","0.54","0.54","0.46","0.46","0.46","0.04","0.04","0.04","0.06","0.06","0.06"
"12","0.56","0.56","0.56","0.52","0.52","0.52","0","0","0","0","0","0","0.4791666666666667","0.4791666666666667","0.4791666666666667","0.5625","0.5625","0.5625","0.46","0.46","0.46","0.52","0.52","0.52","0.06","0.06","0.06","0.06","0.06","0.06"
"13","0.52","0.52","0.52","0.52","0.52","0.52","0","0","0","0.02","0.02","0.02","0.5625","0.5625","0.5625","0.425531914893617","0.425531914893617","0.425531914893617","0.52","0.52","0.52","0.62","0.62","0.62","0.06","0.06","0.06","0.06","0.06","0.06"
"14","0.52","0.52","0.52","0.46","0.46","0.46","0.02","0.02","0.02","0.02","0.02","0.02","0.425531914893617","0.425531914893617","0.425531914893617","0.43478260869565216","0.43478260869565216","0.43478260869565216","0.62","0.62","0.62","0.46938775510204084","0.46938775510204084","0.46938775510204084","0.06","0.06","0.06","0.06","0.06","0.06"
"15","0.46","0.46","0.46","0.5","0.5","0.5","0.02","0.02","0.02","0","0","0","0.43478260869565216","0.43478260869565216","0.43478260869565216","0.3673469387755102","0.3673469387755102","0.3673469387755102","0.46938775510204084","0.46938775510204084","0.46938775510204084","0.58","0.58","0.58","0.06","0.06","0.06","0.06","0.06","0.06"
"16","0.5","0.5","0.5","0.46","0.46","0.46","0","0","0","0","0","0","0.3673469387755102","0.3673469387755102","0.3673469387755102","0.5510204081632653","0.5510204081632653","0.5510204081632653","0.58","0.58","0.58","0.4583333333333333","0.4583333333333333","0.4583333333333333","0.06","0.06","0.06","0.02","0.02","0.02"
"17","0.46","0.46","0.46","0.34","0.34","0.34","0","0","0","0","0","0","0.5510204081632653","0.5510204081632653","0.5510204081632653","0.4897959183673469","0.4897959183673469","0.4897959183673469","0.4583333333333333","0.4583333333333333","0.4583333333333333","0.5510204081632653","0.5510204081632653","0.5510204081632653","0.02","0.02","0.02","0.02","0.02","0.02"
"18","0.34","0.34","0.34","0.5","0.5","0.5","0","0","0","0","0","0","0.4897959183673469","0.4897959183673469","0.4897959183673469","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.5510204081632653","0.5510204081632653","0.5510204081632653","0.62","0.62","0.62","0.02","0.02","0.02","0.04","0.04","0.04"
"19","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0","0","0","0","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.46808510638297873","0.46808510638297873","0.46808510638297873","0.62","0.62","0.62","0.4","0.4","0.4","0.04","0.04","0.04","0.02","0.02","0.02"
"20","0.5","0.5","0.5","0.36","0.36","0.36","0","0","0","0","0","0","0.46808510638297873","0.46808510638297873","0.46808510638297873","0.4","0.4","0.4","0.4","0.4","0.4","0.52","0.52","0.52","0.02","0.02","0.02","0.02","0.02","0.02"
