score_before_opto,score_after_opto
0.28,0.02
0.02,0.0
0.0,0.08
0.08,0.04
0.04,0.04
0.04,0.06
0.06,0.04
0.04,0.08
0.08,0.02
0.02,0.04
0.04,0.06
0.06,0.06
0.06,0.06
0.06,0.06
0.06,0.06
0.06,0.02
0.02,0.02
0.02,0.04
0.04,0.02
0.02,0.02
0.36,0.36
0.36,0.52
0.52,0.52
0.52,0.48
0.48,0.48
0.48,0.5
0.5,0.4
0.4,0.5
0.5,0.38
0.38,0.54
0.54,0.46
0.46,0.52
0.52,0.62
0.62,0.4693877551020408
0.4693877551020408,0.58
0.58,0.4583333333333333
0.4583333333333333,0.5510204081632653
0.5510204081632653,0.62
0.62,0.4
0.4,0.52
0.4,0.2340425531914893
0.2340425531914893,0.3877551020408163
0.3877551020408163,0.3673469387755102
0.3673469387755102,0.46
0.46,0.38
0.38,0.3404255319148936
0.3404255319148936,0.46
0.46,0.3958333333333333
0.3958333333333333,0.4791666666666667
0.4791666666666667,0.4166666666666667
0.4166666666666667,0.4791666666666667
0.4791666666666667,0.5625
0.5625,0.425531914893617
0.425531914893617,0.4347826086956521
0.4347826086956521,0.3673469387755102
0.3673469387755102,0.5510204081632653
0.5510204081632653,0.4897959183673469
0.4897959183673469,0.4285714285714285
0.4285714285714285,0.4680851063829787
0.4680851063829787,0.4
0.28,0.02
0.02,0.02
0.02,0.0204081632653061
0.0204081632653061,0.02
0.02,0.02
0.02,0.0
0.0,0.0
0.0,0.0
0.0,0.04
0.04,0.0
0.0,0.0
0.0,0.0
0.0,0.02
0.02,0.02
0.02,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.26,0.34
0.34,0.3
0.3,0.42
0.42,0.44
0.44,0.44
0.44,0.38
0.38,0.4
0.4,0.44
0.44,0.3846153846153846
0.3846153846153846,0.32
0.32,0.56
0.56,0.52
0.52,0.52
0.52,0.46
0.46,0.5
0.5,0.46
0.46,0.34
0.34,0.5
0.5,0.5
0.5,0.36
