run_id,run_name,algorithm,step,total_samples,test_score,highest_score_so_far
alduqat6,BasicSearchAlgorithm,BasicSearchAlgorithm,0.0,0.0,0.36401673640167365,0.36401673640167365
alduqat6,BasicSearchAlgorithm,BasicSearchAlgorithm,2.0,254.0,0.376,0.376
alduqat6,BasicSearchAlgorithm,BasicSearchAlgorithm,4.0,458.0,0.332,0.376
alduqat6,BasicSearchAlgorithm,BasicSearchAlgorithm,6.0,562.0,0.42168674698795183,0.42168674698795183
alduqat6,BasicSearchAlgorithm,BasicSearchAlgorithm,8.0,666.0,0.448,0.448
alduqat6,BasicSearchAlgorithm,BasicSearchAlgorithm,10.0,720.0,0.444,0.448
alduqat6,BasicSearchAlgorithm,BasicSearchAlgorithm,12.0,774.0,0.436,0.448
alduqat6,BasicSearchAlgorithm,BasicSearchAlgorithm,14.0,878.0,0.452,0.452
alduqat6,BasicSearchAlgorithm,BasicSearchAlgorithm,16.0,1082.0,0.448,0.452
alduqat6,BasicSearchAlgorithm,BasicSearchAlgorithm,18.0,1236.0,0.46,0.46
alduqat6,BasicSearchAlgorithm,BasicSearchAlgorithm,20.0,1340.0,0.392,0.46
alduqat6,BasicSearchAlgorithm,BasicSearchAlgorithm,22.0,1394.0,0.43724696356275305,0.46
alduqat6,BasicSearchAlgorithm,BasicSearchAlgorithm,24.0,1548.0,0.404,0.46
alduqat6,BasicSearchAlgorithm,BasicSearchAlgorithm,26.0,1752.0,0.432,0.46
alduqat6,BasicSearchAlgorithm,BasicSearchAlgorithm,28.0,1956.0,0.468,0.468
v5nya6f5,MinibatchwithValidation,MinibatchwithValidation,0.0,0.0,0.404,0.404
v5nya6f5,MinibatchwithValidation,MinibatchwithValidation,21.0,460.0,0.42971887550200805,0.42971887550200805
v5nya6f5,MinibatchwithValidation,MinibatchwithValidation,22.0,619.0,0.452,0.452
v5nya6f5,MinibatchwithValidation,MinibatchwithValidation,23.0,777.0,0.436,0.452
v5nya6f5,MinibatchwithValidation,MinibatchwithValidation,24.0,936.0,0.44,0.452
v5nya6f5,MinibatchwithValidation,MinibatchwithValidation,25.0,1096.0,0.468,0.468
v5nya6f5,MinibatchwithValidation,MinibatchwithValidation,26.0,1256.0,0.46,0.468
v5nya6f5,MinibatchwithValidation,MinibatchwithValidation,27.0,1416.0,0.448,0.468
v5nya6f5,MinibatchwithValidation,MinibatchwithValidation,28.0,1576.0,0.464,0.468
v5nya6f5,MinibatchwithValidation,MinibatchwithValidation,29.0,1736.0,0.468,0.468
v5nya6f5,MinibatchwithValidation,MinibatchwithValidation,30.0,1896.0,0.476,0.476
v5nya6f5,MinibatchwithValidation,MinibatchwithValidation,31.0,2056.0,0.432,0.476
95lt2ehm,MinibatchwithValidation,MinibatchwithValidation,0.0,0.0,0.396,0.396
95lt2ehm,MinibatchwithValidation,MinibatchwithValidation,21.0,460.0,0.452,0.452
95lt2ehm,MinibatchwithValidation,MinibatchwithValidation,22.0,620.0,0.424,0.452
95lt2ehm,MinibatchwithValidation,MinibatchwithValidation,23.0,780.0,0.412,0.452
95lt2ehm,MinibatchwithValidation,MinibatchwithValidation,24.0,940.0,0.432,0.452
95lt2ehm,MinibatchwithValidation,MinibatchwithValidation,25.0,1100.0,0.436,0.452
95lt2ehm,MinibatchwithValidation,MinibatchwithValidation,26.0,1260.0,0.424,0.452
95lt2ehm,MinibatchwithValidation,MinibatchwithValidation,27.0,1419.0,0.468,0.468
95lt2ehm,MinibatchwithValidation,MinibatchwithValidation,28.0,1579.0,0.456,0.468
95lt2ehm,MinibatchwithValidation,MinibatchwithValidation,29.0,1739.0,0.452,0.468
95lt2ehm,MinibatchwithValidation,MinibatchwithValidation,30.0,1899.0,0.404,0.468
95lt2ehm,MinibatchwithValidation,MinibatchwithValidation,31.0,2059.0,0.48,0.48
0v91hp8h,MinibatchwithValidation,MinibatchwithValidation,0.0,0.0,0.384,0.384
0v91hp8h,MinibatchwithValidation,MinibatchwithValidation,21.0,452.0,0.43724696356275305,0.43724696356275305
0v91hp8h,MinibatchwithValidation,MinibatchwithValidation,22.0,609.0,0.41935483870967744,0.43724696356275305
0v91hp8h,MinibatchwithValidation,MinibatchwithValidation,23.0,769.0,0.4024390243902439,0.43724696356275305
0v91hp8h,MinibatchwithValidation,MinibatchwithValidation,24.0,928.0,0.4251012145748988,0.43724696356275305
0v91hp8h,MinibatchwithValidation,MinibatchwithValidation,25.0,1087.0,0.3911290322580645,0.43724696356275305
0v91hp8h,MinibatchwithValidation,MinibatchwithValidation,26.0,1247.0,0.3967611336032389,0.43724696356275305
0v91hp8h,MinibatchwithValidation,MinibatchwithValidation,27.0,1407.0,0.37398373983739835,0.43724696356275305
0v91hp8h,MinibatchwithValidation,MinibatchwithValidation,28.0,1567.0,0.4112903225806452,0.43724696356275305
0v91hp8h,MinibatchwithValidation,MinibatchwithValidation,29.0,1726.0,0.42338709677419356,0.43724696356275305
0v91hp8h,MinibatchwithValidation,MinibatchwithValidation,30.0,1881.0,0.39271255060728744,0.43724696356275305
0v91hp8h,MinibatchwithValidation,MinibatchwithValidation,31.0,2040.0,0.4457831325301205,0.4457831325301205
sab1k07x,BasicSearchAlgorithm,BasicSearchAlgorithm,0.0,0.0,0.348,0.348
sab1k07x,BasicSearchAlgorithm,BasicSearchAlgorithm,3.0,356.0,0.4,0.4
sab1k07x,BasicSearchAlgorithm,BasicSearchAlgorithm,6.0,662.0,0.356,0.4
sab1k07x,BasicSearchAlgorithm,BasicSearchAlgorithm,9.0,968.0,0.452,0.452
sab1k07x,BasicSearchAlgorithm,BasicSearchAlgorithm,12.0,1274.0,0.452,0.452
sab1k07x,BasicSearchAlgorithm,BasicSearchAlgorithm,15.0,1580.0,0.468,0.468
sab1k07x,BasicSearchAlgorithm,BasicSearchAlgorithm,18.0,1886.0,0.436,0.468
sab1k07x,BasicSearchAlgorithm,BasicSearchAlgorithm,21.0,2192.0,0.448,0.468
sab1k07x,BasicSearchAlgorithm,BasicSearchAlgorithm,24.0,2498.0,0.448,0.468
sab1k07x,BasicSearchAlgorithm,BasicSearchAlgorithm,27.0,2804.0,0.464,0.468
66968mbo,BasicSearchAlgorithm,BasicSearchAlgorithm,0.0,0.0,0.372,0.372
66968mbo,BasicSearchAlgorithm,BasicSearchAlgorithm,3.0,356.0,0.404,0.404
66968mbo,BasicSearchAlgorithm,BasicSearchAlgorithm,6.0,662.0,0.44,0.44
66968mbo,BasicSearchAlgorithm,BasicSearchAlgorithm,9.0,968.0,0.44,0.44
66968mbo,BasicSearchAlgorithm,BasicSearchAlgorithm,12.0,1274.0,0.4779116465863454,0.4779116465863454
66968mbo,BasicSearchAlgorithm,BasicSearchAlgorithm,15.0,1580.0,0.436,0.4779116465863454
66968mbo,BasicSearchAlgorithm,BasicSearchAlgorithm,18.0,1886.0,0.4578313253012048,0.4779116465863454
66968mbo,BasicSearchAlgorithm,BasicSearchAlgorithm,21.0,2192.0,0.47540983606557374,0.4779116465863454
